fold,n_estimators,max_depth,max_features,k,l,accuracy,f1_weighted,roc_auc_ovr,train_accuracy,train_f1_weighted,train_roc_auc_ovr
3_11_5,50,10.0,sqrt,,,0.5625,0.5400641025641026,0.7420454545454546,0.71875,0.7044270833333333,0.8722673572616407
3_12_1,100,10.0,sqrt,,,0.6875,0.6843434343434343,0.875,0.6875,0.6665736607142857,0.8414279636982416
3_12_2,100,10.0,sqrt,,,0.5625,0.5550213675213675,0.7673295454545455,0.71875,0.7008463541666666,0.8683641334440754
3_12_3,100,10.0,sqrt,,,0.75,0.7232142857142857,0.9045454545454545,0.671875,0.6158486346516008,0.837109807585825
3_12_4,100,10.0,sqrt,,,0.5,0.4916666666666667,0.7613636363636364,0.71875,0.7169157608695653,0.8606424764673312
3_12_5,100,10.0,sqrt,,,0.5625,0.5400641025641026,0.7420454545454546,0.71875,0.7044270833333333,0.8722673572616407
4_1_1,50,,sqrt,,,0.875,0.8697916666666667,0.9261363636363635,1.0,1.0,1.0
4_1_2,50,,sqrt,,,0.8125,0.8068181818181818,0.9136363636363637,1.0,1.0,1.0
4_1_3,50,,sqrt,,,0.5625,0.49837662337662336,0.8056818181818182,1.0,1.0,1.0
4_1_4,50,,sqrt,,,0.875,0.875,0.9582386363636364,1.0,1.0,1.0
4_1_5,50,,sqrt,,,0.5,0.5064935064935064,0.8667613636363637,1.0,1.0,1.0
4_2_1,100,,sqrt,,,0.875,0.875,0.9346590909090909,1.0,1.0,1.0
4_2_2,100,,sqrt,,,0.75,0.7288024475524475,0.9051136363636364,1.0,1.0,1.0
4_2_3,100,,sqrt,,,0.5625,0.49837662337662336,0.8161931818181818,1.0,1.0,1.0
4_2_4,100,,sqrt,,,0.9375,0.9364316239316239,0.9821022727272727,1.0,1.0,1.0
4_2_5,100,,sqrt,,,0.625,0.640625,0.875,1.0,1.0,1.0
4_3_1,50,10.0,sqrt,,,0.875,0.8697916666666667,0.9261363636363635,1.0,1.0,1.0
4_3_2,50,10.0,sqrt,,,0.8125,0.8068181818181818,0.9136363636363637,1.0,1.0,1.0
4_3_3,50,10.0,sqrt,,,0.5625,0.49837662337662336,0.8056818181818182,1.0,1.0,1.0
4_3_4,50,10.0,sqrt,,,0.875,0.875,0.9610795454545455,1.0,1.0,1.0
4_3_5,50,10.0,sqrt,,,0.5,0.5064935064935064,0.8667613636363637,1.0,1.0,1.0
4_4_1,100,10.0,sqrt,,,0.875,0.875,0.9346590909090909,1.0,1.0,1.0
4_4_2,100,10.0,sqrt,,,0.75,0.7288024475524475,0.9051136363636364,1.0,1.0,1.0
4_4_3,100,10.0,sqrt,,,0.5625,0.49837662337662336,0.8161931818181818,1.0,1.0,1.0
4_4_4,100,10.0,sqrt,,,0.9375,0.9364316239316239,0.9849431818181817,1.0,1.0,1.0
4_4_5,100,10.0,sqrt,,,0.625,0.640625,0.875,1.0,1.0,1.0
4_5_1,50,,sqrt,,,0.8125,0.8106060606060606,0.9204545454545454,1.0,1.0,1.0
4_5_2,50,,sqrt,,,0.8125,0.8049242424242424,0.9303977272727273,1.0,1.0,1.0
4_5_3,50,,sqrt,,,0.5625,0.5410353535353535,0.8184659090909091,1.0,1.0,1.0
4_5_4,50,,sqrt,,,0.8125,0.8049242424242424,0.9585227272727272,1.0,1.0,1.0
4_5_5,50,,sqrt,,,0.8125,0.8092948717948718,0.8522727272727273,1.0,1.0,1.0
4_6_1,100,,sqrt,,,0.875,0.875,0.9176136363636362,1.0,1.0,1.0
4_6_2,100,,sqrt,,,0.8125,0.8049242424242424,0.9244318181818181,1.0,1.0,1.0
